filename,token1,channel,i,trap,Organism,Term_Source,Term_Accession,Strain,Genotype,Imagetype,Investigation,Study,Assay
img_000000000_01-BF0_000_trap_003.tif,0,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,D3,raw,I1,S2,A6
img_000000000_01-BF0_000_trap_015.tif,0,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,R0,derived,I2,S2,A6
img_000000000_01-BF0_001_trap_003.tif,0,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,D3,derived,I3,S1,A8
img_000000000_01-BF0_001_trap_015.tif,0,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,X1,derived,I3,S0,A1
img_000000000_01-BF0_002_trap_003.tif,0,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,X3,raw,I1,S1,A6
img_000000000_01-BF0_002_trap_015.tif,0,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,X1,derived,I2,S2,A4
img_000000000_03-GFPdouble_000_trap_003.tif,0,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,R1,derived,I2,S0,A6
img_000000000_03-GFPdouble_000_trap_015.tif,0,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,R1,raw,I2,S0,A4
img_000000000_03-GFPdouble_001_trap_003.tif,0,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,D1,raw,I3,S2,A6
img_000000000_03-GFPdouble_001_trap_015.tif,0,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,D1,raw,I2,S2,A7
img_000000000_03-GFPdouble_002_trap_003.tif,0,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R3,derived,I1,S1,A7
img_000000000_03-GFPdouble_002_trap_015.tif,0,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R0,raw,I1,S2,A6
img_000000000_04-RFPdouble_000_trap_003.tif,0,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,X1,raw,I3,S2,A2
img_000000000_04-RFPdouble_000_trap_015.tif,0,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,X1,raw,I3,S1,A9
img_000000000_04-RFPdouble_001_trap_003.tif,0,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,R0,raw,I2,S2,A9
img_000000000_04-RFPdouble_001_trap_015.tif,0,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,X0,raw,I1,S1,A2
img_000000000_04-RFPdouble_002_trap_003.tif,0,04-RFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,D0,raw,I1,S1,A6
img_000000000_04-RFPdouble_002_trap_015.tif,0,04-RFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,I0,raw,I3,S1,A9
img_000000001_01-BF0_000_trap_003.tif,1,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,I1,raw,I3,S0,A8
img_000000001_01-BF0_000_trap_015.tif,1,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,I1,raw,I1,S2,A0
img_000000001_01-BF0_001_trap_003.tif,1,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,X1,derived,I1,S2,A6
img_000000001_01-BF0_001_trap_015.tif,1,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,X0,raw,I3,S0,A2
img_000000001_01-BF0_002_trap_003.tif,1,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,R0,derived,I1,S0,A2
img_000000001_01-BF0_002_trap_015.tif,1,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,X0,raw,I1,S2,A9
img_000000001_03-GFPdouble_000_trap_003.tif,1,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,I3,raw,I2,S2,A2
img_000000001_03-GFPdouble_000_trap_015.tif,1,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,R2,raw,I3,S0,A4
img_000000001_03-GFPdouble_001_trap_003.tif,1,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,D3,raw,I2,S2,A5
img_000000001_03-GFPdouble_001_trap_015.tif,1,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,D3,raw,I2,S0,A7
img_000000001_03-GFPdouble_002_trap_003.tif,1,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,I1,derived,I2,S2,A9
img_000000001_03-GFPdouble_002_trap_015.tif,1,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,X0,derived,I1,S0,A2
img_000000001_04-RFPdouble_000_trap_003.tif,1,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,I1,raw,I1,S0,A0
img_000000001_04-RFPdouble_000_trap_015.tif,1,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,I2,derived,I3,S0,A3
img_000000001_04-RFPdouble_001_trap_003.tif,1,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,D1,derived,I3,S2,A3
img_000000001_04-RFPdouble_001_trap_015.tif,1,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,I2,derived,I3,S1,A0
img_000000001_04-RFPdouble_002_trap_003.tif,1,04-RFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,R0,raw,I2,S2,A8
img_000000001_04-RFPdouble_002_trap_015.tif,1,04-RFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,D3,derived,I2,S0,A8
img_000000002_01-BF0_000_trap_003.tif,2,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,I2,derived,I1,S2,A8
img_000000002_01-BF0_000_trap_015.tif,2,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,D1,raw,I3,S1,A8
img_000000002_01-BF0_001_trap_003.tif,2,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,I0,raw,I1,S1,A1
img_000000002_01-BF0_001_trap_015.tif,2,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,X0,derived,I1,S2,A7
img_000000002_01-BF0_002_trap_003.tif,2,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,D1,derived,I2,S1,A1
img_000000002_01-BF0_002_trap_015.tif,2,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,R1,derived,I1,S0,A8
img_000000002_03-GFPdouble_000_trap_003.tif,2,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,X1,raw,I3,S1,A3
img_000000002_03-GFPdouble_000_trap_015.tif,2,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X3,derived,I2,S2,A8
img_000000002_03-GFPdouble_001_trap_003.tif,2,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,X2,derived,I3,S0,A2
img_000000002_03-GFPdouble_001_trap_015.tif,2,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,I1,raw,I1,S0,A3
img_000000002_03-GFPdouble_002_trap_003.tif,2,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R0,derived,I2,S1,A3
img_000000002_03-GFPdouble_002_trap_015.tif,2,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,I2,derived,I1,S2,A6
img_000000002_04-RFPdouble_000_trap_003.tif,2,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,X3,derived,I1,S1,A9
