,filename,token1,channel,i,trap,Organism,Term_Source,Term_Accession,Strain,Genotype,Imagetype,Investigation,Study,Assay
0,img_000000000_01-BF0_000_trap_000.tif,0,01-BF0,0,0,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,D1,derived,I3,S2,A0
1,img_000000000_01-BF0_000_trap_001.tif,0,01-BF0,0,1,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,I3,raw,I3,S0,A5
2,img_000000000_01-BF0_000_trap_003.tif,0,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,I2,raw,I1,S2,A5
3,img_000000000_01-BF0_000_trap_005.tif,0,01-BF0,0,5,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,X2,raw,I2,S0,A9
4,img_000000000_01-BF0_000_trap_008.tif,0,01-BF0,0,8,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X3,derived,I2,S0,A7
5,img_000000000_01-BF0_000_trap_009.tif,0,01-BF0,0,9,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,R2,derived,I2,S1,A6
6,img_000000000_01-BF0_000_trap_010.tif,0,01-BF0,0,10,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,X0,derived,I1,S2,A4
7,img_000000000_01-BF0_000_trap_011.tif,0,01-BF0,0,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R3,raw,I3,S2,A2
8,img_000000000_01-BF0_000_trap_013.tif,0,01-BF0,0,13,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,X1,derived,I2,S1,A4
9,img_000000000_01-BF0_000_trap_014.tif,0,01-BF0,0,14,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,X3,derived,I1,S0,A0
10,img_000000000_01-BF0_000_trap_015.tif,0,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R2,raw,I2,S1,A7
11,img_000000000_01-BF0_000_trap_017.tif,0,01-BF0,0,17,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,R2,derived,I2,S0,A1
12,img_000000000_01-BF0_000_trap_018.tif,0,01-BF0,0,18,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X3,raw,I2,S2,A3
13,img_000000000_01-BF0_000_trap_019.tif,0,01-BF0,0,19,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,D2,derived,I3,S2,A2
